,tweet
3781, noe_enklere  _gonc4lves_  mrsorokaa Ukraine is about to be united with Mother Russia  U guys dreaming about stuff the Regime tells you 😂😂😂  Should ask nicely😂 ob boi  Killed for 8years and u think they would ever come back  Ukraines future is settled  https://t.co/E6DJTUwN8s
3782,There can be no power sharing with people who want you dead. The Dayton accords was bad in a similar way and you really are seeing that now. Serbia is most likely to join Russia in the next month or two. Invading and genociding inside Kosova or Bosnia. I don't want to be right.
3783, Ben64319554 Russia finish US off before they could move to digital currency make democrats suffer
3784," Z31111407  X7PKiDojvRP1KEg Russia 12th richest country in the world, 14% of people live with - 10000 rubles / month, average net salary in Russia 365 €, 60% of national wealth belongs to 1% of Russians, life expectancy 72 years and Putin has minimum 40 billion lol MAFIA !"
3785,"They have some really penetrating insights like ""war crimes aren't an inevitable product of imperialism it's just Russia"" and ""celebrating WWII is a product of a Neolithic Death Cult"" how could anyone not listen to them?  Moreover, ICE must be destroyed"
3786," MarkHertling This is not an ""Ukrainian strike"". Russia shoot itself just to make an excuse to continue shelling and bombing civillians in our country"
3787,What is going on in Ukraine is something which could be described as warfare from before WW1. It goes against liberal democary's idea of war. Nobody should be supporting the powers in Russia at all. It goes against human rights.
3788, UNWatch  UN_Spokesperson what the fuck? where is the line? russia crossed it a hundred times already  https://t.co/pxXrF4AOpq
3789," visegrad24 Poland should stop this stupid game blaming Germany or EU for the weak sanctions. Orban is openly bragging that the sanctions are weak because of his threats with veto. Orban openly accuses Ukraine of attacking Hungary, his propaganda openly supports Russia. If Poland wants..."
3790," Essam_Qpti  georgegalloway  MoatsTV You demonstrate my whole point here, you don’t really care about “the weak”. Ukraine is clearly weaker than Russia, who is invading and destroying it in an unprovoked attack. You don’t even fake any concern. It just takes one tug to pull the mask off of you guys."
3791, mfa_russia  RusEmbUSA  RussianEmbassy  RusEmbIndia  EmbassyofRussia  mission_russian  RusBotschaft  rusembassynl  Dpol_un  Amb_Ulyanov  A__Alimov How You Russians Can Live With Yourself. The All World Is Watching The Atrocities And Barbarsim Your Soldiers Are Doing In Ukraine. You With Be Remembered In the Same History Page As Nazi Germans. You Are No Europians You Are Beasts.
3792," Biz_Ukraine_Mag  deane_filip F*ck you, Russia! Ha!"
3793, Kasparov63 Russia LOST Kyiv fight. They must retreat. They are bitter and they know they must go to Charkiv or Donbas. They know they are going to die. 💯 % fact.
3794,"Russia shifting focus to victory by early May in eastern #Ukraine, #US officials say. #UkraineConflict #UkraineCrisis"
3795, burning55963534  bibliomania94  IntelDoge I think they dont have internet freedom like russia had
3796," JohnCleese Soviets put down the Hungarian revolution that was critical of Stalinistic rules and policies.  Difficult to say what the actual nationality of the Soviet army.  Easy to say the orders the Soviet army followed came from Moscow, Russia."
3797," NotHoodlum What exactly is an "" Independent "" poll in #Russia ?"
3798," uisbg1 ""At the same time, the Prime Minister remained a principled opponent of Russia's participation in a possible world war, believing that the country would not withstand such a burden.""  https://t.co/uOM8PpD4k8"
3799,Fuck #Russia military. #PutinIsaWarCriminal #UkraineRussiaWar
3800,I like how Will Smith smacked Chris Rock and everyone just forgot about Ukraine and Russia
3801," RussianEmbassy  thetimes  mfa_russia  RusembUkraine  rusembassynl  amrusbel  BBCWorld  SkyNews  guardianworld  standardnews  MailOnline  REESOxford horrible evil people, Russians."
3802," goldseek If the last 40 yrs were about the petro dollar,are we now entering a phase of the petrogold and local currencies then pegged to Gold? Russia just did it."
3803," al_lure  spriter99880 keep spreading the bullshit, where are the pictures to the mass graves? Of course Russia would mass murder civilians and then leave them for Ukrainians to use as atrocity propaganda to rally even more. The whole thing is completely ridiculous to the bone"
3804,The latest Daily Kibbon!  https://t.co/qGcSGXMd7A Thanks to  ggreenwald  worldcannanews1  ThePressofAC #cannabis #russia
3805," MukwevhoNC  inZwe  AJEnglish Those are the same people who will tell you that Russia failed miserably in Ukraine. I feel like they achieved everything they said they will, liberating the Luhansk and Donbass region, demilitarizing Ukraine and De-nazification. But they will tell you otherwise"
3806,Russia-Ukraine war latest: Ukrainian troops retake entire Kyiv region as evidence emerges of execution of civilians – live #ukraine   https://t.co/woGYoxDi4y
3807," abmpan  X7PKiDojvRP1KEg Russia 12th richest country in the world, 14% of people live with - 10000 rubles / month, average net salary in Russia 365 €, 60% of national wealth belongs to 1% of Russians, life expectancy 72 years and Putin has minimum 40 billion lol MAFIA !"
3808,"Lovely art from Russia.   She will not hurt anyone.  She do not give up and she will continue to say and do what she can, because even water sharpens a stone. Art is a real power of light and an opportunity for dialogue between people in all languages."
3809, SchadenGabriele  RussianEmbassy  mfa_russia  RusembUkraine  RusEmbUSA  RusMission_EU  BBCWorld  SkyNews  ftworldnews  guardianworld  TelegraphWorld  spectator No. It's this building:  https://t.co/cHFLFUkTk0
3810,"🤡 …🤣🤣🤣…🤡  It’s been 4 weeks, wankstain. LOL  The Russian army can’t even feed themselves let alone win.  Putin is trying to find a way out and save face.  The Russian economy is totally decimated.  300,000 Russians have already fled Russia.   Russia is fcuked for decades."
3811,"around Russia are gaining strength, and who knows what unexpected plot twists they can lead to. As the Serbs say: Crimea is Russia, Ukraine is Russia, Alaska is Russia, everything is Russia except Kosovo, Kosovo is Serbia. It seems to us that they know something. Or hint."
3812," EquusontheBuses Sadly, it's very hard to see how anyone will be brought to justice for these atrocities. The actual perpetrators are anonymous Russian soldiers who will probably end up back in Russia..."
3813, mfa_russia  RusEmbUSA  RussianEmbassy  RusEmbIndia  EmbassyofRussia  mission_russian  RusBotschaft  rusembassynl  Dpol_un  Amb_Ulyanov  A__Alimov Murderers and rapists! That’s Russia
3814," JONA_EMPOWERED  jcokechukwu Finland doesn’t agree with Russia, Georgia doesn’t,  Poland, Lithuania and a host Baltic and Scandinavian countries don’t see Russia as a good neighbor but it’s you Africans that think Ukraine should submit to every Russian whim...either you guys are paid apologists or just dumb"
3815,Putin and his fascist Russian army must be held accountable for their war crimes at The Hague. Full reparations from Russia for  Ukraine is an imperative for the entire free world. #PutinsWarCrimes
3816,"Russia needs to be denazified.  There cannot be durable peace in Europe as long as Russia in it's current form exists. The structures of power must be ground to dust.  The job won't be done with an eventual ceasefire, unless the plan is to arm everyone with nukes."
3817," nexta_tv In that case, Russia is a failed state."
3818,"On NATO's Front Line, Russia's Threat Draws New Allied Forces  https://t.co/U5qI2NjpNr"
3819,"Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most lethal disastrous war is taking place in #Tigray, where food has been weaponized for more than 17 months. #EndTigraySiege  _AfricanUnion  PaulKagame  https://t.co/aZFzUrKnMR"
3820, olex_scherba Russia as a country has ceased to exist. It is now just a territory run by a criminal group that shall be brought to justice behind the eyes of the civilized world.  https://t.co/Kqxh3oyRmj
3821," emaks3000  spectatorindex Not for the whole world, I don’t think I will be affected Directly in the Middle East by Russia."
3822,Russia vows to target British weapons in Ukraine as it accuses UK of escalating war - The Independent  https://t.co/OdBekJZEsu
3823, michaeldweiss This devastation  is absolutely sickening how dare Russia do this !!!
3824,The referendum in South Ossetia as a prologue to the USSR 2.0 was conceived here at leisure. South Ossetia has gathered into Russia and intends to hold a nationwide referendum on this topic. You don't have to be a brilliant predictor to anticipate its results right now — such a  https://t.co/Pfmm1tofRN
3825," k_bezier  PettiAnn  IntelCrab It's c.2000-2010's+ Germany's fault, that Russia has had this toxic and murderous culture for many decades, arguably centuries even?"
3826,Russia Expected to See Highest Gas Profits in History in 2022 Despite U.S. Sanctions - Big League Politics  https://t.co/3ijIRZ0iMr via  getongab
3827,"Russia must pay for their war crimes. Every sanction possible MUST be imposed upon them by the rest of the world. That means India can't sit this one out, and Israel needs to stop harboring Putin's henchmen. #RussianWarCrimes #Russia"
3828,Head of #Sumy regional administration says large number of Russian military equipment entered the region(From Chernihiv and Kyiv regions and moving towards Russia)  #ukraine   https://t.co/THMkIjrupa
3829,Russia on Ukraine and USA - Security Council Media Stakeout (1 April 2022)  https://t.co/153qe9JFLX via  YouTube #BiolabsinUkraine #biolabs
3830," 5X0GWeUFc1zhFOh  X7PKiDojvRP1KEg Russia 12th richest country in the world, 14% of people live with - 10000 rubles / month, average net salary in Russia 365 €, 60% of national wealth belongs to 1% of Russians, life expectancy 72 years and Putin has minimum 40 billion lol MAFIA !"
3831, pthomasgarcia RUSSIA LOST KYIV THEY ARE RETREATING AND LEAVING A MESS OF BODIES BEHIND THERE TROOPS CAN BARELY PROPERLY FUXKING RETREAT TONS HAVE BEEN CAUGHT BEHIND ENEMY LINES. YOU NEED TO UNDERSTAND THE FACT THAT WARCRIMES ARE NOT FUNNY AND RUSSIA HAS EMASSED A FAR LARGER NUMBER THEN UKRAINE
3832," IntuitMachine That’s an incredible piece, properly through the liking glass. It seems the elite in Russia are as fragile as a glass menagerie, and incapable of contemplating a world without a vice like control.  It’s slipped away from them, and that cannot see it yet."
3833,RUSSIA RETREATS LONG LIVE UKRAINE 🇺🇦 CPL FALLIVENE USMC DEMOCRATIC POLICIES ARE DESTROYING THE WORLD 🌎 CPL FALLIVENE  https://t.co/5CuLWlRWzp
3834," adrianleaks  jimvirden3  kelmerica78 Also in 2017,he placed sanctioned Russia for its unlawful 2014 annexation of Crimea. He punished more than three dozen individuals &amp; organizations that were behind the invasion of Ukraine"
3835, Russia  russiabeyond  RusArtCulture  lithub  RussLiterature  RussiaTrek  RussiaInsider  RusLibrary  ReadRussia2022 Imagine children with no books in a bomb shelter because some scumbag pretended his neighbour was a nazi so he could pretend to be a leader instead of a criminal stealing from his own.
3836," tinso_ww  oryxspioenkop Not sure this comment looks next to a Bosnian flag; isn't ur country 1 of only 3 in Europe, along with Georgia &amp; Serbia, to not sanction Russia?   Georgia probably doesn't want to give Russia an excuse to invade again, Serbians are evil &amp; Russia's bitches, what is your excuse?"
3837," olgatokariuk Russia must not only be isolated from the World, but they must also be completely eliminated. How can the rest of the World just look the other way, while so many innocent civilians are tortured, wounded, raped, and murderd?"
3838, Everybo96116105  Shobith86979498  BSBonner  rogertansey You aren't suggesting that anything China did to India is remotely similar to what Russia is doing to Ukraine are you?
3839," Skybuster187  sentdefender  whatwakeup So you think people who support those fighting against Russia in Ukraine, ""warmongers"", huh?  That's also interesting."
3840, lookner do you know the single best sites for all deaths Over a week ago I sent a tweet showing all most 11K dead. This report while truly un acceptable and Russia must stick to cease fires they create. The news needs to find all the people dead or injured Ukraine to be accurate
3841," amelinmihail74  X7PKiDojvRP1KEg Russia 12th richest country in the world, 14% of people live with - 10000 rubles / month, average net salary in Russia 365 €, 60% of national wealth belongs to 1% of Russians, life expectancy 72 years and Putin has minimum 40 billion lol MAFIA !"
3842,Commentary: Are companies pulling out of Russia as a publicity stunt?  https://t.co/f3FuGREnhr  https://t.co/2TlL3GsDLY
3843, patriotcanuck65 I don't believe either side there. Ukraine is one of the most corrupt governments in the world and well Russia is Russia period.
3844, SenTedCruz What border crisis? What about the Ukraine crisis CAUSED BY TRUMP'S PARTNER RUSSIA?
3845," BabushkasFilm  hollymorris - Holly do you know how the Babushka Grammas R doing after Russia invaded?  Russian soldiers were all over Chernobyl area digging trenches-stirring up radioactivity (now very sick &amp;transported to Belarus Hospital) - but the ladies, how are they? Your Film was great!"
3846, leahmcelrath I hope Russia knows that they basically are a pariah state. Disgusting.
3847, continuityseo  ukraine_world Hope they do! Russia has problems with legal behavior of soldiers … they are like west Allies . The difference: war crimes start before end of war !
3848," chriscartw83 What is wrong with you? If you were a Russian asset pretending to support Ukraine, I would not be astonished. If Macron re-election is now not a guarantee, it is precisely because unlike the other candidates, he supports sanctions against Russia and talks about Ukraine."
3849," LouiseMensch Not when that pain &amp; terror will undoubtedly be turned tenfold unto the people of Ukraine, those who oppose the war in Russia &amp; any country that draws his ire as his pain and terror increase. If he reaches the bunker scene state in Downfall then only a one thing'll stop him..."
3850,"See further in the thread for evidence.  In short, had Russia gotten its way, the plan was to pacify Kyiv via mass executions."
3851,This is probably only one of many massacres #Russia is responsible for in #Ukraine. The world should not  stop punishing Russia and Putin for the crimes it’s committing in Ukraine
3852," The_IntelHub Russia can’t do anything, who will fight? They are already trying to move forces from north to help their south forces."
3853," mission_russian We also remember Russia's claim she was a ""crisis actor."" We also remember Russia's claim the destruction of the hospital was ""Ukraine bombing itself."" We know she was taken to DPR and this video was no doubt produced by the FSB.  Not to be believed."
3854,India’s reluctance to take sides should perhaps not have come as a surprise. The country is dependent on Russia for most of its defence procurement. There is also a long-standing anti-western tradition that stems from past western support for Pakistan.  https://t.co/y4GCeuZuDw
3855, IAPonomarenko Says a lot about quality of life back in Russia.
3856,How long will it be before #Putin ‘sleeper cells’ start attacking U.K. infrastructure? ⁦ thetimes⁩ trumpeting British weapons bringing down helicopters doesn’t go unnoticed in #Russia and can used as an excuse for #PutinsTerror failures domestically.  https://t.co/SKE0ckeNqD
3857," Biz_Ukraine_Mag #Russia, #Putin and his men must be held accountable and tried for war crimes in #Ukraine. 👇  https://t.co/DgVyH3zEYC"
3858,"There is no way Russia would see Belarus be attacked and go “Ah, well” and do nothing"
3859,"How on earth can #Russia feel this is justified or humane!!! Breaks my heart 💔 Never in my life did I think I would witness such evil, I only thought this would be read in history books. FU #Putin #UkraineRussiaWar"
3860," jeidelarsen  aaronjmate I agree with much of what you are saying. Although it would be more fair to say that it was Russia-initiated &amp; led insurgency that has taken away the ability of these people to vote. According to the ICC, Donbas was the conflict between Ukraine &amp; Russia.   https://t.co/yyQDNYVYFv"
3861," DefenceU They must have it pretty bad in Russia. No wonder Putin was envious of Ukraine's progress to a modern life - if he can't have it, they can't either - really shows his sad mentality."
3862," randlight Scummo joins sanctions against Russia, no sanctions against China or India for not condemning Russia in the war against Ukraine, but does a trade deal with India FFS and expects a pat on the back, the man is a fuckwit and a hypocrite."
3863, komonews Yeah a lot a sub will do when Russia pushes the button multiple times eh?
3864, MarcSebastion  caplover923  LittleMsPerfct  mfa_russia  CHANEL  AmbRusFrance  franceonu  RussiaUN  RusBotschaft  RusEmbUSA  RusEmbassyUAE  RussianEmbassy  RusBotWien  mission_russian Zelensky is in the fight while Putin is hiding in his bunker
3865,🗺️ World top topics in media headlines:  https://t.co/0MuNTBvi2k  1. Ukraine 2. Putin 3. Russia 4. Russian 5. Ucrania 6. Kiev 7. Ukrainian 8. Biden 9. Kyiv 10. Rusia
3866,208 protesters arrested in Russia. A Russian organization that monitors political arrests said 208 people were arrested today in anti-war protests in Ukraine.  https://t.co/jxDKWwv792 #Russia #Ukraine #WARINUKRAINE #protest #arrested #BreakingNews
3867,"DO NOT LOOK AWAY…while gruesome, this is the horrible reality of what Russia has done in Ukraine.  Russia’s army is a disgraceful bunch of uncivilized savages.  #Ukraine️ #WarCrimes #Russia #BuchaMassacre   These pictures should be on the front page of  nytimes  https://t.co/u8CXIhtfMB"
3868, Greatusername10  JacquesRentzke  maxseddon There are photos of dead civilians on the ground. You WANT to defend Russia.
3869,"My kingdom is willing to send all of the gangs from Haiti; who are fighting each other to help Ukraine and Russia, I don't need them in Haiti. And I would accept Ukrainenians refugees and run away soldiers from both sides to Haiti."
3870, MSNBC  MaddowBlog Adam Schiff spent 3 years going on every fake news show that would book him to promote the baseless conspiracy theory that Donald Trump colluded with Russia to steal the 2016 presidential election. He lied and failed to produce any evidence.
3871," denna_dar  Elizabe86020834  Joyce_Devivre2  LeaderMatsuto  Amb_Ulyanov  mfa_russia If you had known math, you will see countless of unverifiable videos containing zero live witnesses and zero live interviews are all equally meaningless. This guy is at the front.    Whatever video you're watching is barely near the fighting area."
3872, avalaina How do people live in Russia?
3873,US Panic: Meet These Mysterious Russia's Sixth Generation Fighter Jet  https://t.co/2vyOCM5z4h via  YouTube
3874," k_cieslak We've managed to put ourselves in a terrible position. We reaped the short-term benefits of relying on Russia for energy, but I believe that there's now very, very little chance of the government repaying those benefits - for months, or even years."
3875,"Dependency is one thing, optionality is another. If Europe could use Russian gas to drive down the price of other suppliers, it will and should.  It could do so by allowing Russia to sell (limited) spot gas volumes, which it could easily do as the world’s low cost supplier."
3876, igorsushko there is nothing better for china then imploding russia. they can get whole east asia for basically free
3877, Tarquin_Helmet But given the carefully controlled narrative in Russia that this is all a western ploy to undermine Russia and with a great many believing it. Would you be willing to take that chance?
3878," nexta_tv Endure some cold, endure some confort loss and some increased price to stop Russia and its war crimes! Our loss of confort and cheap products mean simply nothing compared to the genocide in Ukraine. Russia will not be forgotten nor forgiven...ever!"
3879,How Kyiv Has Withstood Russia’s Attacks  https://t.co/AboIikz480
3880, spectatorindex Those Russia guys are butchers. It will be interesting to see what Ukranians will see in the next coming days
3881," lenkor60  X7PKiDojvRP1KEg Russia 12th richest country in the world, 14% of people live with - 10000 rubles / month, average net salary in Russia 365 €, 60% of national wealth belongs to 1% of Russians, life expectancy 72 years and Putin has minimum 40 billion lol MAFIA !"
3882,"Ukrainian negotiator claims advances in talks with Russia, possibility of 'direct consultations' between  ZelenskyyUa, Putin in future. #Zelenskiy #Ukraine #UkraineConflict #UkraineCrisis"
3883,"Same image, two tweets.  One says it was perpetrated by Russia.  The other says it was perpetrated by Ukraine.  Who is right?  Podolyak_M  spriter99880  https://t.co/Xha3JhOIrW"
3884,"Beijing is determined not to allow the US to steal Pakistan from its inner circle of vital Asian partners that today include Russia, Iran, Afghanistan and others.  https://t.co/z3vHRose1a"
3885,Mariupol residents give their opinion on Zelensky and Poroshenko and talk about the fact that Azov Nazis are holding up in a factory with tons of chemical products like ammonia. #Russia  https://t.co/YKknppOFms
3886, FransGotThis  olya_rudenko  NATO  POTUS you must do something to stop this. Stop being afraid of Russia.
3887,"In my humble opinion , russia needs to gtfo of crimea, and all of ukraine, and the donabss , and they canbuss those motherfuckers that are pro russia to the camps in russia and fuck right the fuck off.   Not just ceasefire.   Comense find out phase."
3888, Farnakyboy  achebrian  SamRamani2 Yemen has nothing to do with Russia that was all the Saudis backed by the US
3889, sumlenny Ukraine president is asking the world to sanction Russia but what I don’t understand is how he want other countries to boycott Russian oil &amp; gas when most of Russian oil &amp; gas pipelines going to Europe are going through his country Ukraine &amp; he can easily shot them down totally🤔
3890, Alliswelliswell  KimIversenShow The videos are not under any dispute. They are available for anyone to look at. Just look at the propaganda alone. Russia posts Russian soldiers handing out food. Ukrainians post torture videos. Each side is telling you what they want you to think of them.
3891," IanBrettCooper  patrickcook28  lilitica  KSergatskova On March 9th, Russia admitted they used conscripted soldiers in the war.  Thats a fact.  Russia is the invader.  That is a fact.  I dont see how you need much more to criticize.  If you think this is ok, you are a heartless warmonger."
3892," ZelenskyyUa  BorisJohnson putler should go down in history for: helping Ukraine join the EU, reuniting Ukrainian territory &amp; peoples, opening Ukriane for massive investment &amp; modernisation, making Europes energy renewable, and possibly by bringing more democratic reform to Russia &amp; Belarus.(&amp;war criminal)"
3893,Russians executed these orders.... The population of Russia isn't clean here.  The people of Russia aren't clean..  This is Russia's war...  Absolute trash.....
3894," X7PKiDojvRP1KEg  cat_mayior Russia 12th richest country in the world, 14% of people live with - 10000 rubles / month, average net salary in Russia 365 €, 60% of national wealth belongs to 1% of Russians, life expectancy 72 years and Putin has minimum 40 billion lol MAFIA !"
3895,Feeling the same. At first I also thought it's Putin's war...but no...it isn't anymore. It's Russia as most of its people are pro their psycho-leader.
3896, BlindArmadillo  southietalkies  Truethoughts68  BSBonner How much do you get paid for the pro war and anti Russia comments?
3897, sternenko your  KremlinRussia_E  mod_russia  MedvedevRussiaE  GovernmentRF people did it!even hard to think who could be worse than russians!all that you leave behind is death! #war #RussianWarCrimes  yurydud  FeyginMark4  linguamarina  dobry  NevzorovAG  McFaul  tjournal  nytimes  cnnbrk
3898,"Economic sanctions are unlikely to last long because the economic costs for European countries to switch off Russian gas would be too high. Since European countries can't do more to sanction Russia, please send more advanced weapons to Ukraine. With weapons, kill all invaders."
3899,[Even] more repercussions from Russia's decision to keep aircraft belonging to foreign lessors: 👇  https://t.co/orYKbXCTnJ
3900, PeterSchiff  PeterSchiff When are you gonna move to Russia and start bashing the US on RT tv??  https://t.co/zOdzS4vd1l
3901, IAPonomarenko Tells you how life is back in Russia.
3902,World Blog by humble servant. Ukraine Chronicles 235.Ex-president calls for Russia to abandon food trade with West Dmitry Medvedev says that Russia could cease exports to “unfriendly countries” -  https://t.co/N9rIKfvnBO
3903," avalaina In the USA, we should be revoking working visas for Indians and giving them to Ukrainian refugees who might want them. Indians should go work in Russia and China. India is nothing more than a cheap and opportunistic society."
3904,Russia is a murderous Mafia state and it should be destructured.  And the Russian people should atone for 10 generations for what they are responsible now.  https://t.co/GHUPU0iQQL
3905," LDanoczi  markito0171 It's hard to believe, but seems true, lol. Russia values its fighters."
3906, MrKRudd And Indian now buys Oil from Russia 🇷🇺
3907,"Cn Rape, Murder  i for one would say it‘s high time to just stop energy imports from Russia and figure the rest out from there."
3908," dima7b  ezeijlemaker  Osinttechnical nope, this is not European war, this Ukraine versus Russia war, some country who have interest in the fall of Russia invest in the war, but Europe isn't at war"
3909," _save_ukraine_ I'm nearly old enough to have seen worse in Germany.  I do see worse in Russia, and North Korea. And Mayanmar. But haven't seen worse here. Not even Thatcher."
3910," tedlieu  KpsZSU  DeptofDefense Is there any talk anywhere  tedlieu of declaring all of Ukraine west of the Dneiper a ""safe haven"" and having NATO enforce that by sending troops up to the western bank?  Russia has said clearly that its objectives are in the east."
3911, RCNorm  joncoopertweets It’s interesting that you’re ok that MSM lied &amp; was complicit with the DNC to concoct &amp; report the Russia Collusion. That was an attempted coup of a sitting POTUS. BUT Tucker is a Russia ally based on a YouTube video &amp; FOX news is bad. 🙄
3912," apmassaro3 😂😂you must be in very deep coma Bring on the extra supports, they will all be destroyed on their ways. As of the notion Russia is in retreat, in your dream. Azov battalion destroyed in Mariupol, Ukraine main fighting forces surrendered in Donbas. It is all over by end of April"
3913, BorisJohnson On this day forty years ago UK invaded Argentina's territory. Today UK is still invading while pretends it's not behaving like Russia nowadays.
3914,Yes! Tow the line… or we sic Russia Today TV on your sorry posterior!
3915, TAPSTRIMEDIA  TulsiGabbard She and the rest of the lovers of putin need to go aheD Nd move to Russia where they will be happy
3916, AnonOpsSE When companies don't want to embargo Russia these photos should be constantly uploaded to their corporate Twitter sites
3917,This is country of “saviors” looks like.  #RussiaInvadedUkraine #Russia #RussianWarCrimes #Russians #RussianArmy #RussianUkraineWar #россия  https://t.co/OnS5KHWBWy
3918," piersmorgan 100% agree with you, I have posted some messages like that and directly people react who are afraid they will get nuked. Russia won't, because they will get destroyed. Let's stop these crimes against humanity"
3919,"""Ode to Freedom"" is a beautiful song on the Voyage album and now - sadly - a touching tribute to the Ukraine - Russia war  https://t.co/SP23Qz4TRn"
3920," DHSgov Theres a dude some call ""The Big Guy."" He was taking 10% of money funneled by China and/or Russia who were trying to gain access to high ranking Obama admin officials. You should check it out."
3921," twitsportsUK  DarkCruiser12  visegrad24 cornering a big power like russia  by world can backfire, as it happened with germany  in 1930s as a result 2nd world war started"
3922, Copernicus2013  IAPonomarenko Because if they don't russia also won't
3923, OneMN36  RealPepeEscobar Quite agree but what happens when a payment is frozen by EU or Russia's foreign reserves are kept frozen by EU.  https://t.co/FumPUnwNp1
3924, gty0  newscomauHQ Talking about Russia and democracy in the same issue 😵‍💫😵‍💫😵‍💫😵‍💫
3925," finnishleftist  ChaosIsMel I'll admit that's poor wording on the part of a media outlet. I still stand by my claim originally, which is that RUSSIA today makes no attempts to obfuscate that they are a state controlled media source"
3926, Global_Mil_Info You know I don’t think China will appreciate having two crazy folks as their neighbor now that Russia has lost all semblance of sanity.  This is a bad time Kim…
3927, RT_com It'll take generations for Russia to be cleansed from their murder spree in Ukraine
3928, kevinbcarney  pstanga  tabalizer  QuietFriendly  MarkHertling STOP THE LIES =  30% and yet I stated clearly the words GRAINS   And  export  =  15% Ukraine and 15% Russia +12 different popular grains in 2 different categories!  But you go ahead and keep insisting I said Ukraine exports 30% of worlds wheat! Wheat is 1 of 12 diff GRAINS  https://t.co/R2rpjtzTOl
3929," Corporal_52  mfa_russia  RusEmbUSA  RussianEmbassy  RusEmbIndia  EmbassyofRussia  mission_russian  RusBotschaft  rusembassynl  Dpol_un  Amb_Ulyanov  A__Alimov this is a war crime and a genocide, Russia will pay for this! #StopRussianAggression #genocide #massmurderes #denazyfyrussia #RussianWarCrimes  https://t.co/XlHACqCnIZ"
3930,"I'm from Ukraine, you know it's a war here. russia is killing our children and destroying our homes. We believe you can help us. Please sign the petition to close the skies over Ukraine. We extremely need a no-fly zone.  (1/3)"
3931,THIS ONE'S PERSONAL: My grandpa was born in Ukraine. My friends have family there. The UN says half the children in Ukraine have fled their homes since Russia’s invasion. THAT'S 4.3 MILLION KIDS! Pls give if u can &amp; PLS forward this fundraiser! TW/FB/LI/IG  https://t.co/5pBbV8HRBg
3932," unrealeprechaun  worldonalert You haven't idea what kind of technology has been used for those weapons like Kinzhal or Zirkon. Nobody developed such technology yet except Russians and china,no need usa for this. Avangard is 27 Mach intercontinental missile.why the hell Russia will use this weapon in ukr"
3933," paulg It's back to the books for you, Sir. With respect, you appear ignorant on earth's, and especially, Russia's history."
3934,God Bless Him!  #Russia
3935, JanuaryAttack  lapatina_ If chem/bio/nukes were not in Russia's hands I can almost say 100% that NATO/EU/USA would be in full scale armed conflict. The problem is doing so even with WMD's would pull other countries in and a shit load more soldiers and innocents would die than is already happening
3936, visegrad24 Here's hoping that Russia will some day reach even the 90's instead of still being in the early 1900's. It's so frustrating to be in the 2020's with matured countries with civilized governments and our neighbor is still acting like a young criminal who can't tolerate criticism.
3937,"Give Russia another ten years after Ukraine and they’ll be re welcomed into the fold of civilized nations. You see, white nations are “civilized” by default. Russia did worse in Afghanistan (as did US, NATO) and all hugged and Russia was welcomed back then too. All barbarians."
3938, killerzombies14  mfa_russia  RusEmbUSA  RussianEmbassy  RusEmbIndia  EmbassyofRussia  mission_russian  RusBotschaft  rusembassynl  Dpol_un  Amb_Ulyanov  A__Alimov Liberated Europe? The Soviets were universally regarded as far worse than the Nazis as an occupying force. Their barbarous campaign of murder and rape is a horrifying example of Russian evil.
3939,"🇱🇹 has stopped gas import from Russia: ""the move has geopolitical significance in setting a precedent for the E.U.""  nytimes  https://t.co/lsT1Yx5YT8"
3940, RepMTG  SarahPalinUSA Hahahha what a joke but hey she can see Russia from her house! so why not have another Putin pal on the payroll? You go maverick 😂
3941,"Wonder how they'll come to terms on Donbas and Crimea, Russia will never budge on either so Kiev regime needs to figure out a way to save face and accept the territorial reality"
3942,"This is #ThePowow…roll it, light it, pass it! 💨THE POWOW #52💨 Baby Bubba💨Russia Ukraine Week 💨 #WeedLovers #Russia #Ukraine #AXEpodcast #ThePowowCanHappenAnyWhere #ThePowow #Podcast #Unscripted #Uncensored  ⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️  https://t.co/Jb5jjTtEGC  https://t.co/34VAHSZyCs"
3943, dons1kkk  GitanasNauseda As a lithuanian I could say - we are just fine. Russia could go fuck herself.
3944, AKorybko  IceOnLand  Darling1138  lapatina_ Not putting effort into finding out about you. Don't care except to document what I suspected that you worked for an anti American propaganda outlet in Russia. You have found you can make a few Rubles playing a fool for a dictator simply because you hold a US passport.
3945," Tiasfal  Sci_Phile And what if they came across patches of normally edible wild mushrooms in the forest? Mushroom foraging is a common activity in Russia, wild mushrooms are known to accumulate radioisotopes such as Cesium 136 and Russian soldiers have reportedly been poorly provisioned."
3946, ScooterCasterNY God will punish them in the end! But untill that time. I can't believe no on on the planet has the balls to make Russia pay for this!!!
3947, mbillips  KyivIndependent What has become of the land where zelensky moved to the west? erdogan and turkey are trying to bring them together for peace. the content of the meeting is a matter of russia and ukraine
