,tweet
39,April1 Russia required gas buyers from “unfriendly countries” to open special ruble and foreign currency accounts with Gazprombank to pay for gas supplies...NO PAY ...then the tap get turned off  https://t.co/xSh7O6jnbe
40," Conflicts If Russia wanted Kiev, they would have taken it or destroyed it. I’m glad it didn’t happen. We just need to know why."
41," cerbnord Russia 12th richest country in the world, 14% of people live with - 10000 rubles / month, average net salary in Russia 365 €, 60% of national wealth belongs to 1% of Russians, life expectancy 72 years and Putin has minimum 40 billion lol MAFIA !"
42,The missiles that are killing Ukrainian babies are coming from inside Russia. And you don't want Ukraine to strike back? Why is this even an issue.
43," vandman777 Ukraine and the west both want to fight Russia, they’re in it together. If Putin hadn’t been so egoistical this war wouldn’t have happened"
44, HMammed  khalediskef Well Russia will most likely destroy it
45,What happened in Bucha is Russia’s mask off moment. But not really because they’ve done this before and are already doing horrible stuff across the country. It proves that the American claims of a kill/capture list are accurate and that the Russians intend to purge all resistance
46,"Almost 300 buried in mass grave in Bucha, near Kyiv: Mayor"" Have tweeted Patriarch Kirill, Moscow, to have him sanctify their Russian benefactor as St Putrid. Posters at all border crossings to have St. P.-with new halo on-say: ""Welcome back to Russia and the Dark Ages."" PSR Oz."
47," allianz_de  Allianz  StadtMuenchen Stop funding Russia's war against Ukraine! Right now, Russia is killing Ukrainian civilians with fascist methods. Putin is Hitler, stop cooperation!"
48," jacksonhinklle Hiding himself, as he is feeling that he will be assassinated by CIA or their agents, and then blame Russia for responsibilities."
49,Now it seems likely that the only thing capable of preventing a decisive victory by #Russia in #Ukraine (much sooner than later) is one of the #FalseFlagChemicalAttacks that we often saw in #Syria whenever the Western-backed jihadi-rebels were losing.  https://t.co/cA6gRjQrFz
50,"Gold-backed ruble could be a gamechanger  ,projected bf the Ukraine war as the Shanghai's Yuan market linked to gold   Russia near 2,300 Ton of gold stored in Bank of Russia vaults in Moscow and St Petersburg valued at 140 $B  and the Brits to say that RUs 's gold  has no value!"
51,What would we do if Russia launched a nuclear bomb?  https://t.co/quAAS1irET
52,"Russia plans this for every country, not just Ukraine."
53,"For humanity (first), morality and strategy: Democracies are obliged to defend #Ukraine militarily and with heavy and lethal #weapons. We're all against #WarCrimes of #Russia, people in the streets shout this at their governments. #StandWithUkraine #StopPutinNOW   NATO  POTUS"
54," GarySenior1 It's in the bottom drawer with the levelling up plan, Sue Grey report, Russia report, Covid Public enquiry etc etc..."
55," swift_pam Dear Pam, you consume too much Russian propaganda. This number includes at least 4,000 Ukrainian troops &amp; 5,500 LDNR combatants, many of whom were Russian military. The ICC ruled the conflict to be between Ukraine &amp; Russia. Please check your sources.   https://t.co/z0BkjSoKAb  https://t.co/sSdZLBypfc"
56," Elizabe86020834  denna_dar  Joyce_Devivre2  LeaderMatsuto  Amb_Ulyanov  mfa_russia No sane institution allows you publish things using an alias, pal. So it makes no sense for you to brag about something that's recorded no where. Sorry, your made up lie of credentials can not be used. Why don't you get back to real logical question where you have no answer for?"
57," AllianzMusic  Allianz Stop funding Russia's war against Ukraine! Right now, Russia is killing Ukrainian civilians with fascist methods. Putin is Hitler, stop cooperation!"
58," cerbnord Russia 12th richest country in the world, 14% of people live with - 10000 rubles / month, average net salary in Russia 365 €, 60% of national wealth belongs to 1% of Russians, life expectancy 72 years and Putin has minimum 40 billion lol MAFIA !"
59,"In the coming weeks certain experts will argue that Russia’s attack to central and western Ukraine has somehow been functional to securing Donbass. They’ll have to explain why slaughtering civilians in #Bucha was a strategic choice, what’s the meaning of this atrocity."
60,If you think about it. In years to come we will get to play a Call of Duty that based on Russia and Ukraine….. “No Russian”
61,Thank you very much Russia 🇷🇺 although we have got a mountain to climb now. Puppets are in control of our Country. Have messy on us &amp; train us again ⁦ KremlinRussia_E⁩ ⁦ EmbassyofRussia⁩  russia  https://t.co/8TzLzIo7fa
62, gabrielmilland  IlvesToomas Yep the earlier pre invasion German line that they had to support Russia &amp; couldn't sanction it for reasons of history has not aged well.
63," sumlenny  MelaniePodolyak For humanity (first), morality and strategy: Democracies are obliged to defend #Ukraine militarily and with heavy and lethal #weapons. We're all against #WarCrimes of #Russia, people in the streets shout this at their governments. #StandWithUkraine #StopPutinNOW   NATO  POTUS"
64,Ukraine and its Western allies reported mounting evidence of Russia withdrawing forces from around Kyiv and building its troop strength in eastern Ukraine. But it's unlikely the shift signals a reprieve from more than five weeks of war's devastation.  https://t.co/IvOh92YJL5
65,Vice President Kamala Harris says the administration is 'not into regime change' after fallout from Biden saying Putin 'cannot remain in office'  https://t.co/AnVGYSShgx via  YahooNews Putin CANNOT REMAIN IN POWER OVER RUSSIA! The world cannot afford it. Putin must be REMOVED NOW!
66," allianztrade  Allianz Stop funding Russia's war against Ukraine! Right now, Russia is killing Ukrainian civilians with fascist methods. Putin is Hitler, stop cooperation!"
67,Russia-Ukraine war latest: Ukrainian troops retake entire Kyiv region as evidence emerges of execution of civilians – live  https://t.co/2eJSdoJyrC
68, Pontifex JESUS WOULD GO TO UKRAINE &amp; STAY TILL RUSSIA STOPPED MURDERING!
69," cerbnord Russia 12th richest country in the world, 14% of people live with - 10000 rubles / month, average net salary in Russia 365 €, 60% of national wealth belongs to 1% of Russians, life expectancy 72 years and Putin has minimum 40 billion lol MAFIA !"
70," AndrewDilliner  ClearConscienc4 Should know that out of any allies, WE NEED Russia as that key allie. This Russianphobia bs is ridiculous. And we currently are involved, like it or not, because the current corrupt admin owns Ukraine. Again, back to the meme."
71,"West, Russia mull nuclear steps in a ‘more dangerous’ world  https://t.co/LXwcWAM8ed"
72, ArtemKulikov_  7SeasYojimbo  SteveMalloy16  jacksonhinklle Nope.  But Russia is.  Seriously.  Look up fascism and fascist governments in the past.  Putin's regime mirrors it as though was using hitler as a role model.
73, VinEvgeny  nocontextfooty Russia. It's the only country which suit the most to this group.
74," RepGregSteube Yes, he was totally talking about that when he signed the anti lynching bill, when  talked to Ukraine, when set in motion a plan to help with the inflated gas prices, when he commissioned new ship for the navy, when he met with former marine's parents while Russia holds him..."
75," SamvgWr Hi, Your thread is ready to read. Battle of Kyiv Thread 1/  The Battle of Kyiv was decisive battle in Ukraine War that Russia launced   https://t.co/UZINfkDNui  Have a good day!"
76,These are not photos from some horror movie. This is what russia does to Ukrainians. A genocide.  They simply want to wipe us out of existence.  https://t.co/alo6xtspJf
77,Still rooting for Russia 🇷🇺  TuckerCarlson?
78,"⚡️Zelensky to the question of an American journalist about the actions of Azov:  ""Azov is what they are...They are defending their country....They are part of the armed forces of Ukraine.""  #Ukraine #Russia #TPYXA  https://t.co/poyXOoEgDy"
79," JimmySecUK I think when Konstantin Kisin said that Russia values human life differently, he was absolutely right, the evidence is there to see."
80, ThomasVLinge There were 3 hospitals according to her. #1 used as Ukraine's military base cause it had solar panels; so one can assume that would have been first attacked by Russia.
81, normboy562 What a hypocrite Snotty is.  Cosies up to India who are still trading with Russia while supposedly sending tanks to Ukraine.  You couldn't make this shit up.
82, RepMTG  SarahPalinUSA Oh yeah? She can see Russia Russia Russia from her house!  https://t.co/0lbed5xqO2
83, AcrylicScape  McFaul And I would rather that we gave them Jets and bombers so that they could take the fight into Russia and give Russia a taste of its own medicine. Russia needs to be taken down not just a peg or two
84," kazweida After these atrocities, there can be NO MERCY shown for Russia, not today, NOT EVER."
85,"This is just an absolutely horrific. James Palmer's statement was plenty damning enough about the Russian military. You do not, in fact, need to suggest that the entire population of Russia are and always have been barely human abominations."
86," Allianz Stop funding Russia's war against Ukraine! Right now, Russia is killing Ukrainian civilians with fascist methods. Putin is Hitler, stop cooperation!"
87," StratInt Russia must be defeated totally. No fear, no mercy. The west has to step in!  https://t.co/7Ds1EWT5Pq"
88,#Russia must be punished for its war crimes. No mercy for these scums #Ukraine
89," armscontrol_rus  mfa_russia  UKRinOSCE  i_army_org  Ukraine  USAmbMongolia  USEmbRuPress  UN  UnderSecT  LethalWeaponFOX  Chinamission2un  ChineseEmbinRus Well, you are pumping Syrian mercenaries and Russian mercenaries fighting in Ukraine with deadly weapons. Difference is,  DefenceU receive the weapons to defend their Homeland to repel Russian invaders. You give the deadly weapons to mercenaries to kill civilians."
90, RussiaUN  mod_russia  mfa_russia  RusEmbUSA  RussianEmbassy  AmbRusFrance  UNCANews  vrobecco  PamelaFalk  baysontheroad  kambizf  pass_blue Murderous thugs says what?  https://t.co/qkJl1MA9pP
91," onefortymax  RevanTheCommie  marleydraque  AmetReloads  RWApodcast how much do you know about the conlfict between russia and ukraine? Its really a very complicated situation, its nit just we are going to invade ukraine.. Whether right or wrong, russia claim to have good reason, so why dont we hear their reason instead of censoring them.."
92, olex_scherba  milenaac Read Svetlana Alexievich about the USSR war in Afghanistan and you will see the same horror stories. Russia trying to “save and redeem” a neighboring country that never asked for help
93, Delta467997  redfishstream Hahaha you think so the full NATO is scared of Russia and China
94," BorisJohnson  ZelenskyyUa ""Brave"" Russia nazists kill in Ukraine  civilians shooting in back of their head and rape women!!! No more Russia and fascists in Kremlin!  https://t.co/90f4sAxwMs"
95,"Seeing some real arse cakes pandering to the meaningless words of dumbfnckery from Miss Trust. Calling for war with Russia. Jesus wept. I’ve got children and grandchildren. Not many, but more than the collective braincells on her threads."
96," Suckafree93  MickiBlue52  TMZ Ok Tankie, go love on Putin elsewhere. It's much more likely that she was framed than she tried to carry pot around in Russia and go through the airport with it.  You might have missed it, but Putin's Russia is the bad guy.  She deserves due process, like any other US citizen."
97," Eptobleatb  cerbnord Russia 12th richest country in the world, 14% of people live with - 10000 rubles / month, average net salary in Russia 365 €, 60% of national wealth belongs to 1% of Russians, life expectancy 72 years and Putin has minimum 40 billion lol MAFIA !"
98,"So Soviet goes away, bunch of small entities remain - and ... they never talked to each other - about what's the way forward? (maybe looks *some did and do ... ?)   How much Russia (and Europe) expert place focus on this?   EU nor US urged them to have something like that ever?"
99,This is Russia:   https://t.co/8WY46DA5aI
100, dkearnsjr  johnrobertsFox  WhiteHouse  PressSec Oh shes objective eh?? lol… “This is Jeopardy!” Russia is Number 3…  https://t.co/oc6RfgrIl4
101,"In Bucha, Russian soldiers deliberately killed all men between the ages of 16 and 60.  Imagine that all the men in your family were killed!  This is the genocide of Ukrainians! #Bucha #bucha #Genocide #killputin #Russia #путинубийцa #StopRussia #Ukraine️  https://t.co/kR3BP65pjH"
102, RWApodcast Except Putin's Russia IS the murderous enemy embodied. Murderers.
103,Via   madebyhistory : The lesson of the first Gulf War and its aftermath for handling Russia  Washington Post Opinions  PostOpinions  https://t.co/ke3bYNg0Ox
104, CGTNOfficial Ramping up food manufacturing in the west wouldn't take too much work. Close all western waters to shipping registered in Russia or delivering goods to/from Russia.
105," AGCS_Insurance  Allianz  RiskInsurance Stop funding Russia's war against Ukraine! Right now, Russia is killing Ukrainian civilians with fascist methods. Putin is Hitler, stop cooperation!"
106,"I used to follow this person, but they have fallen victim to the MSM propaganda... “Russia bad, Ukraine good”...  https://t.co/KUj8jn06Zp"
107," KHoholenko  Capitals Dude shut the fuck up. We get it. Shut up now. This is a positive message, and has nothing to do with Ovi. Despite that, you decide to make it about Russia and Ukraine. YOU GET NO BITCHES."
108, przgwxl  IvvyNemo  PhillipsPOBrien Time has changed since this attack. Ukraine is one of us and we need to ship them what they need. What could even be reason not to do so? Left over gear after the war? Just look at #Bucha and see what Russia did there. What will they do if they win only one more city?
109," chumak_iryna  TassieTigerrr  LynGerry1  KyivIndependent Oh naive, as soon as there will be chanse for Europe to get gas from Russia for cheap money, the sooner they will let Ukraine loose, as I said they giving weapon to us. Missed weapon lost war"
110," redfishstream I guess you are only ""anti-war"" and  ""anti-imperialists"" as long as it's not about Russia invading Ukraine💩"
111, tagsforsina russia DEINERTS ARE PROUD OF SINA
112,The invasion of Ukraine revealed the white supremacy and double standards of some.  Not only white Ukrainians have the right to resist illegal and war criminal occupation.  🇺🇦🇵🇸🇺🇦🇵🇸🇺🇦🇵🇸 #Israel #Russia #Ukraine️ #RussianWarCrimes #gaza #Jerusalem #Ramadan #Palestine
113, k10hurst420  lesiavasylenko  mikegalsworthy Russia is not part of NATO. Where did you get the impression that it is?
114," NataliaAntonova This guy writes for Mint Press News, Identified as a node that spreads Russia-favorable disinformation."
115," IanStrachey  ainporram  oneoneckone  aajav3022  Swedish_Patriot  EuropeElects answered you in the other comment  also, same with you and Russia and China"
116," AllianzGI_view  Allianz Stop funding Russia's war against Ukraine! Right now, Russia is killing Ukrainian civilians with fascist methods. Putin is Hitler, stop cooperation!"
117,"🌎 💯⬇️ I think it's about time the world got together, grabbed these two morons and slip them both a dose of what Putin ordered on Litvinenko 👌  Just get rid of them FFS ‼️🤨 Before it's too late ⏰   #UkraineUnderAttack #Russia #UkraineRussiaWar  https://t.co/VgCN8t1nrk"
118," mtracey Sorry that Russia lost, Mike :c"
119," AmbRusFrance  zlj517  mfa_russia  amrusbel  RussianEmbassyC  AmbassadeChine FYI: the Soviet (meaning : council) Union doesn’t excise anymore, therefor all agreements made with them are nullified and void!"
120, Acer  intel Are you still in Russia?
121," DavidJRichardss  JimmySecUK Could not possibly agree more. And without Klaus Fuchs, the world might also have managed to avoid falling down the massive, pointless, decades-long postwar rabbit hole, crushing untold lives, that somehow Russia still hasn’t emerged from. We’re still paying the price for Stalin."
122, AJ_alAmriki  tinso_ww  SlavicWorld they dont know what they want. they want at the same time advantages (economic) of EU and mythic appeal of Russia
123," olgatokariuk hey  KremlinRussia_E - your invasion has achieved 2 things: you have made Ukraine famous and loved, and you have shown the world just how weak your own army is. Russia will now always be remembered as a nation who killed innocents because they couldn't win the war any other way."
124,"Excellent use of maps, images, video footage, and web tech in this technical analysis of Russia's failure to capture Kyiv.  How Kyiv Has Withstood Russia’s Attacks | via  nytimes    https://t.co/QpUybhN2Cb"
125,I've just seen a lot of disturbing pics.  Fuck Russia.😢
126,latest Ukraine Russia war | Chechen new battalion going for battle 💣  https://t.co/vMyeUfibmL via  YouTube these pro Russian profiles needed to stop  YouTube
127," med_boudhina  dave_wright98  GeromanAT The conversation was over from my first posts, as they were correct. You have been in denial.  Ukraine has lost the war and so has submit to Russia's demands.  And you have succumbed to war propaganda and disinformation.   https://t.co/jTdhXFOnXK"
128," RusAmbCambodia  mfa_russia Multiple war crimes have been committed in Ukraine. Putin, Lavrov and their cabal should start packing their bags. They’ll be off to The Hague soon."
129, TTibuhaburwa To the Russian government employee who wrote this tweet: I assume you don't have the same restricted media that your fellow Russians in Russia do? Do you feel any guilt for Pushing a 100% lie for money? Russia is murdering civilians in Ukraine.
130, KuiperBeltAlien  bigdaddydog32  NPKirwan  Suzann3SN  newSkye  carlosp202  KyivIndependent  ZelenskyyUa Lol hypocrite condems a singular nation with nazis while glorifying Russian nazis and stalinists. So mart of u. Russia should focus on its own facist issues
131," AnonOpsSE The russians did it, and the rest of the russians in russia and in the world support the war in various ways, with Z symbols, calls to exterminate Ukrainians and some with silence!!! But all russians support the war! Not only Putin! ❗️❗️❗️"
132, RussianEmbassy  mfa_russia  RusembUkraine  RusEmbUSA  RusMission_EU  BBCWorld  SkyNews  ftworldnews  guardianworld  TelegraphWorld  spectator You are still live!
133, ZelenskyyUa come on Ukraine it’s time to strike inside Russia.. please do something inside Russia gut them hard NOW IS THE TIME STRIKE RUSSIA AGAIN WHAT ARE YOU WAITING ON?
134," ZelenskyyUa Please Sir, don't go on #FoxNews or better known as #FauxNews they are just an US propaganda arm of #russia . They are a waste of you precious time."
135," dpeleschuk No matter how painful and difficult it may be, all responsible nations should embargo Russian oil and gas with immediate effect. Strangle their economy, send Russia back to the stone age then, maybe, Russia will come to its senses"
136, TTibuhaburwa To the Russian government employee who wrote this tweet: I assume you don't have the same restricted media that your fellow Russians in Russia do? Do you feel any guilt for Pushing a 100% lie for money? Russia is murdering civilians in Ukraine.
137," McFaul No. Ukraine will tell russia what status they can have, whag their borders are and if they can have any military. But obviously they should have none"
138,🤣🤣🤣WOW. Russia getting all kinds of investments!  https://t.co/f4aVkw2L2z
139,"For humanity (first), morality and strategy: Democracies are obliged to defend #Ukraine militarily and with heavy and lethal #weapons. We're all against #WarCrimes of #Russia, people in the streets shout this at their governments. #StandWithUkraine #StopPutinNOW   NATO  POTUS"
140, Osinttechnical I want Russia TO ATTACK MY Country  so I could go and fight them. Even if manage to kill single russian scum before I die i would be dying happy
141, Russia  russiabeyond  RusArtCulture  lithub  RussLiterature  RussiaTrek  RussiaInsider  RusLibrary  ReadRussia2022 Which book celebrates moment of shooting a little girl in the legs for fun?   https://t.co/Q6p7j68iGN  #UkraineRussiaWar
142,"It´s disgusting to discover that these amoral people who govern Ukraina have not only Nazis-Battalions but also three Muslim Battalions fighting against Russia like Hitler did, all of them supported by us, ""West"".  That is not my Europe, that´s sick! #EmpireOfLies #UkrainianNazis"
143, Telegraph Good citizens would not denounce their neighbors but shitheads totally will. It's a shame to see Russia taking the messed up way once again.
144," ChristopherJM  Bundeskanzler How does ""cutting the gas deliveries would hurt our economy too much"" sounds now?   leroymerlinfr How does ""Russia is a too important market for us"" sounds now?   visit_hungary How does it feel to be the closest ally in Europe to a new Hitler?"
